X,Y,Z
0,0,0
28,62,82
-45,27,-29
-94,79,-49
82,-85,51
-12,-29,15
28,-49,80
35,85,11
67,-52,54
-52,-45,-55
47,-87,23
76,-62,-10
-63,-32,-14
-25,16,39
13,83,-32
75,-48,-49
-77,64,17
-2,-55,-75
-89,0,-15
93,90,-55
-1,-53,-53
85,80,76
-31,19,-45
81,14,-69
24,92,58
21,4,-34
-68,85,-93
38,26,-66
-22,-16,-48
-61,70,-55
53,-95,76
58,-5,-60
-69,-50,24
94,-2,-39
-22,37,52
-89,-11,-32
-28,-43,84
-25,-48,-14
-3,-9,77
98,20,20
71,57,-78
-77,-69,-6
-100,-66,96
-88,-5,-69
3,30,94
61,-92,-91
-54,32,-85
-86,70,-2
0,-32,80
89,13,-41
63,-98,39
