X,Y,Z
0,0,0
76,36,-58
36,14,25
42,-77,-88
-6,86,70
-23,91,-8
-54,-92,-89
98,90,69
54,17,48
-13,31,29
-33,-65,88
-20,27,-3
-9,-13,-24
-89,50,61
74,31,92
-65,25,97
-54,14,-15
96,45,-37
79,29,20
-70,-32,10
-14,62,-34
-15,-25,32
-42,-77,89
-50,-3,-67
-13,83,82
88,-48,96
-92,77,-45
-55,-87,-85
-11,53,15
-7,24,14
100,-17,-92
-94,-31,62
83,1,98
-50,67,-64
32,79,43
92,-26,1
-85,-69,9
-100,-8,91
-96,87,-52
38,-17,-39
40,-36,73
16,-53,47
-75,34,-60
23,-100,-15
-14,-69,32
91,94,33
-70,-97,-99
-34,96,28
-64,57,-62
48,58,9
